127.0.0.1 - - [22/Mar/2022:16:21:22 +0900] "GET / HTTP/1.1" 404 994
127.0.0.1 - - [22/Mar/2022:16:21:25 +0900] "GET /Membership/Member_Form.jsp HTTP/1.1" 200 12543
127.0.0.1 - - [22/Mar/2022:16:21:25 +0900] "GET /Membership/js/idCheck.js HTTP/1.1" 200 263
127.0.0.1 - - [22/Mar/2022:16:21:25 +0900] "GET /Membership/js/change_email.js HTTP/1.1" 404 1077
127.0.0.1 - - [22/Mar/2022:16:21:25 +0900] "GET /Membership/js/juminCheck.js HTTP/1.1" 200 1077
127.0.0.1 - - [22/Mar/2022:16:21:47 +0900] "GET /Membership/IdCheck.jsp?mem_id=test HTTP/1.1" 200 487
127.0.0.1 - - [22/Mar/2022:16:22:33 +0900] "GET /Membership/IdCheck.jsp?mem_id=hong1234 HTTP/1.1" 200 492
127.0.0.1 - - [22/Mar/2022:16:23:09 +0900] "GET /Membership/IdCheck.jsp?mem_id=test HTTP/1.1" 200 487
127.0.0.1 - - [22/Mar/2022:16:30:16 +0900] "GET /Membership/Member_Form.jsp HTTP/1.1" 200 12543
127.0.0.1 - - [22/Mar/2022:16:30:16 +0900] "GET /Membership/js/idCheck.js HTTP/1.1" 304 -
127.0.0.1 - - [22/Mar/2022:16:30:16 +0900] "GET /Membership/js/chamge_email.js HTTP/1.1" 200 372
127.0.0.1 - - [22/Mar/2022:16:30:16 +0900] "GET /Membership/js/juminCheck.js HTTP/1.1" 304 -
127.0.0.1 - - [22/Mar/2022:16:56:34 +0900] "POST /Membership/Member_cotrol.jsp HTTP/1.1" 404 1075
127.0.0.1 - - [22/Mar/2022:16:58:48 +0900] "GET /Membership/Member_Form.jsp HTTP/1.1" 200 12544
127.0.0.1 - - [22/Mar/2022:16:58:48 +0900] "GET /Membership/js/idCheck.js HTTP/1.1" 304 -
127.0.0.1 - - [22/Mar/2022:16:58:48 +0900] "GET /Membership/js/chamge_email.js HTTP/1.1" 304 -
127.0.0.1 - - [22/Mar/2022:16:58:48 +0900] "GET /Membership/js/juminCheck.js HTTP/1.1" 304 -
127.0.0.1 - - [22/Mar/2022:16:58:54 +0900] "GET /Membership/IdCheck.jsp?mem_id=test HTTP/1.1" 200 487
127.0.0.1 - - [22/Mar/2022:16:59:57 +0900] "GET /Membership/Member_Form.jsp HTTP/1.1" 200 12544
127.0.0.1 - - [22/Mar/2022:16:59:57 +0900] "GET /Membership/js/idCheck.js HTTP/1.1" 304 -
127.0.0.1 - - [22/Mar/2022:16:59:57 +0900] "GET /Membership/js/chamge_email.js HTTP/1.1" 304 -
127.0.0.1 - - [22/Mar/2022:16:59:57 +0900] "GET /Membership/js/juminCheck.js HTTP/1.1" 304 -
127.0.0.1 - - [22/Mar/2022:17:49:02 +0900] "GET /Membership/Member_Form.jsp HTTP/1.1" 200 12544
127.0.0.1 - - [22/Mar/2022:17:49:02 +0900] "GET /Membership/js/idCheck.js HTTP/1.1" 304 -
127.0.0.1 - - [22/Mar/2022:17:49:02 +0900] "GET /Membership/js/chamge_email.js HTTP/1.1" 304 -
127.0.0.1 - - [22/Mar/2022:17:49:02 +0900] "GET /Membership/js/juminCheck.js HTTP/1.1" 304 -
